iter	RMSE
0	1028170.637
1	994117.8053
2	961381.2317
3	931001.463
4	902919.3547
5	875293.9182
6	849634.2582
7	825742.0591
8	803595.0051
9	782388.5456
10	761754.7632
11	742269.1601
12	724410.0622
13	707509.3303
14	692133.1616
15	676694.3786
16	662239.448
17	648154.7726
18	635559.9145
19	623724.1882
20	612490.1912
21	602234.1507
22	593306.7144
23	583186.9298
24	573645.7423
25	564774.3878
26	556978.7862
27	548917.2832
28	541799.0105
29	535950.2258
30	529712.6096
31	523927.7489
32	519175.3104
33	513570.5551
34	508582.2972
35	504123.202
36	499437.6273
37	495248.5617
38	490773.9992
39	485859.432
40	482218.4929
41	478787.7292
42	475310.1437
43	472092.6273
44	468849.9828
45	465895.9502
46	463255.6267
47	460423.0853
48	457343.3624
49	455177.3383
50	452797.8229
51	450918.1343
52	448980.4657
53	447004.3002
54	444681.5244
55	442935.5646
56	440999.6203
57	439127.0536
58	437184.5294
59	435358.087
60	433288.3944
61	431889.6159
62	430712.9438
63	429449.7576
64	427696.3796
65	426472.6497
66	425392.1338
67	424108.6876
68	423093.854
69	421222.4678
70	420320.0254
71	419040.8103
72	417874.2906
73	416133.8558
74	415326.3882
75	413691.2425
76	412614.9272
77	411727.3065
78	410769.9074
79	409964.0672
80	409238.0326
81	408653.8172
82	407745.6124
83	406899.3652
84	406077.8209
85	405077.8288
86	404324.3596
87	403203.3416
88	402329.8704
89	401605.6136
90	401026.1768
91	400033.1848
92	399435.3568
93	398585.4194
94	397480.833
95	396926.908
96	395624.8761
97	395034.8469
98	394404.8518
99	393453.7543
100	392771.1647
101	391833.0296
102	391008.2243
103	389803.184
104	388847.862
105	388155.8364
106	387595.1323
107	387007.6507
108	386258.4066
109	385657.5824
110	384707.2687
111	384030.1767
112	383520.9707
113	382826.8362
114	381838.3042
115	381147.3553
116	379949.355
117	379377.76
118	378623.4251
119	377829.0494
120	376874.0197
121	376393.6835
122	375889.1265
123	375358.5097
124	374694.4153
125	374404.1344
126	373656.0434
127	372769.1409
128	372316.044
129	371568.5993
130	371155.6025
131	370537.7718
132	369861.7215
133	369138.8618
134	368566.0727
135	367852.1854
136	367252.0321
137	367016.9677
138	366523.8759
139	366044.0677
140	365154.0342
141	364491.55
142	364113.485
143	363385.482
144	362857.419
145	362268.8639
146	361754.0839
147	361070.5188
148	360580.1896
149	360183.8152
150	359538.6189
151	358614.5876
152	358167.2523
153	357396.0452
154	356727.7679
155	356007.6473
156	355281.8529
157	354861.9124
158	353977.8008
159	353394.3102
160	352691.0279
161	352113.3789
162	351803.202
163	350654.1403
164	350051.3476
165	349430.8601
166	348682.9818
167	348131.6233
168	347679.9406
169	347193.5437
170	346702.6255
171	346200.9265
172	345812.6437
173	345148.8395
174	344388.9421
175	343745.4645
176	342973.2482
177	342512.7909
178	341743.7446
179	341491.6286
180	340980.2723
181	340663.5202
182	340238.716
183	339819.0309
184	338879.8662
185	338857.368
186	338433.6871
187	337668.5585
188	337286.8271
189	336748.4191
190	336144.9883
191	335633.7331
192	335316.398
193	334692.9789
194	334274.7687
195	333513.853
196	333060.6818
197	332473.2892
198	332232.3296
199	331864.2686
200	331265.8387
201	330564.5198
202	330081.9886
203	329452.6451
204	328955.2727
205	328452.8047
206	327846.7101
207	327322.2057
208	326431.9022
209	325796.5362
210	325213.2015
211	324678.023
212	324110.6045
213	323446.259
214	323034.6881
215	322376.6157
216	321833.6843
217	321142.7316
218	320641.0891
219	320055.4402
220	319675.1212
221	319100.7312
222	318568.0464
223	318179.5427
224	317555.6595
225	316958.7582
226	316730.9043
227	316061.6768
228	315563.9228
229	314774.7097
230	314518.4679
231	313822.988
232	313422.5535
233	313005.7298
234	312683.9517
235	312378.1251
236	312008.122
237	311616.5741
238	311261.867
239	310864.3055
240	310627.9266
241	310317.7209
242	309779.2828
243	309459.9965
244	308913.179
245	308497.8794
246	308064.9715
247	307754.8997
248	307336.3458
249	307048.4469
250	306659.4786
251	305920.4938
252	305499.5506
253	305295.9293
254	304610.5559
255	304253.4904
256	303574.168
257	303089.628
258	302407.3973
259	302061.8029
260	301834.4552
261	301349.9338
262	301020.014
263	300598.9599
264	300074.9509
265	299507.5944
266	299186.6497
267	298907.9594
268	298463.0142
269	298164.3061
270	297603.1658
271	297039.7907
272	296701.1574
273	296173.5762
274	295881.8703
275	295490.5379
276	294924.3481
277	294583.2096
278	294025.5636
279	293536.6186
280	293265.8531
281	292981.5188
282	292480.557
283	292114.3841
284	291705.9067
285	291304.7413
286	291011.609
287	290673.0335
288	290396.5305
289	289814.1038
290	289406.0339
291	288973.7751
292	288636.7344
293	288040.7844
294	287595.2155
295	287001.2771
296	286744.2722
297	286265.2092
298	285846.0193
299	285546.8006
300	285138.079
301	284805.5549
302	284362.6016
303	284009.3637
304	283607.0455
305	283363.7557
306	282959.0834
307	282761.1182
308	282384.0971
309	282118.8691
310	281747.2963
311	281216.4085
312	280852.0055
313	280538.9273
314	280305.5207
315	280024.6319
316	279577.8963
317	279172.182
318	278718.1198
319	278334.0501
320	277859.5821
321	277518.4019
322	277171.4641
323	276841.6019
324	276438.3509
325	276009.8723
326	275615.7836
327	275425.4199
328	275079.3352
329	274669.7765
330	274241.8663
331	273767.2706
332	273297.8672
333	273072.5823
334	272603.8861
335	272265.8612
336	271957.1947
337	271516.2265
338	271112.4957
339	270589.9168
340	270368.4878
341	269852.6155
342	269526.4681
343	269124.9816
344	268758.6967
345	268291.9587
346	268105.6157
347	267707.9805
348	267284.0361
349	266866.2521
350	266675.1131
351	266401.1803
352	266118.6056
353	265675.1898
354	265290.3662
355	265076.0585
356	264472.6837
357	264306.1965
358	264141.4659
359	263934.8292
360	263664.5913
361	263387.9612
362	262928.1302
363	262557.8313
364	262308.7169
365	261946.6338
366	261505.0448
367	261254.4835
368	260919.3641
369	260455.5805
370	260164.1309
371	259718.3284
372	259397.2349
373	259073.7226
374	258847.9037
375	258540.2102
376	258221.9713
377	258029.8672
378	257667.3823
379	257254.857
380	257015.9716
381	256762.1333
382	256500.1365
383	256200.5055
384	255947.548
385	255520.0809
386	255336.2222
387	254987.8187
388	254672.7425
389	254372.9962
390	254230.9521
391	253881.0158
392	253538.7147
393	253151.9927
394	252599.5105
395	252109.5324
396	251878.2166
397	251620.1339
398	251295.0034
399	250996.7487
400	250512.0761
401	250052.119
402	249793.5244
403	249450.0112
404	249132.7863
405	248860.4896
406	248690.8296
407	248392.1154
408	248086.0051
409	247810.1644
410	247480.6782
411	247272.8373
412	246828.3538
413	246525.6239
414	246330.4301
415	246127.9548
416	245926.7856
417	245634.499
418	245402.4685
419	245192.0879
420	244861.4457
421	244539.9247
422	244266.952
423	243981.1163
424	243678.6515
425	243389.7515
426	243251.5507
427	242975.323
428	242670.7048
429	242269.0524
430	242060.4814
431	241875.6104
432	241609.2219
433	241339.5326
434	241029.2604
435	240730.5622
436	240527.9446
437	240150.6587
438	239862.6747
439	239519.1698
440	239218.2297
441	238938.3599
442	238780.093
443	238411.063
444	238152.74
445	237964.3455
446	237600.8634
447	237428.4203
448	237221.2283
449	236961.0969
450	236784.7167
451	236531.5994
452	236384.8517
453	236007.2648
454	235817.6528
455	235532.7638
456	235247.2379
457	235090.371
458	234807.0572
459	234395.7517
460	234170.3868
461	233947.1007
462	233664.2627
463	233457.0367
464	233218.6197
465	233002.2414
466	232675.1568
467	232418.7064
468	232181.6126
469	231974.7503
470	231858.0345
471	231603.5025
472	231130.0163
473	230867.9572
474	230664.3239
475	230475.5262
476	230321.8975
477	230076.6411
478	229894.4414
479	229740.0917
480	229546.0038
481	229317.2816
482	229049.0143
483	228733.0427
484	228594.3685
485	228263.8086
486	228038.1388
487	227762.1241
488	227556.9908
489	227359.9149
490	227132.3265
491	226850.2736
492	226676.6468
493	226226.1395
494	225914.0644
495	225658.0271
496	225532.5123
497	225336.1302
498	224995.2679
499	224746.4799
500	224534.7176
501	224277.6
502	224097.3837
503	223848.2754
504	223505.2461
505	223186.7627
506	223016.326
507	222752.06
508	222580.8902
509	222367.1756
510	222104.338
511	221793.8661
512	221597.9991
513	221407.419
514	221003.3933
515	220729.533
516	220542.4165
517	220263.7532
518	220042.1629
519	219897.9401
520	219773.9726
521	219579.1341
522	219340.12
523	219130.0678
524	218915.7957
525	218709.6559
526	218358.6016
527	218207.9081
528	217842.2715
529	217619.4972
530	217339.4414
531	217063.3307
532	216839.6549
533	216650.4234
534	216452.8691
535	216135.8921
536	215767.1346
537	215593.5105
538	215483.8054
539	215313.9882
540	215137.7192
541	215001.0914
542	214875.8697
543	214656.4917
544	214443.9379
545	214207.3464
546	214014.4974
547	213730.3286
548	213507.1864
549	213302.6513
550	213101.9562
551	212863.288
552	212619.7077
553	212398.0477
554	212267.9778
555	212045.7306
556	211824.0118
557	211626.292
558	211449.7673
559	211263.7573
560	211078.6392
561	210967.2632
562	210719.985
563	210567.5372
564	210451.8412
565	210289.2938
566	210061.8292
567	209848.7906
568	209560.7877
569	209333.1584
570	209207.7638
571	208865.0987
572	208679.8941
573	208572.9261
574	208426.5202
575	208148.1728
576	207939.181
577	207739.124
578	207628.6435
579	207441.388
580	207229.824
581	207107.9681
582	206723.5171
583	206604.8946
584	206390.0158
585	206243.1761
586	205984.8449
587	205791.5754
588	205656.2401
589	205395.9688
590	205222.3447
591	205027.975
592	204880.8272
593	204751.259
594	204549.6985
595	204412.4415
596	204280.4977
597	204096.8557
598	203813.5339
599	203642.4675
600	203460.5055
601	203110.1207
602	202847.3539
603	202635.4409
604	202303.0959
605	202123.3319
606	201865.8599
607	201728.0016
608	201427.1458
609	201310.3825
610	201165.2236
611	200874.4376
612	200715.4534
613	200553.2992
614	200431.9245
615	200215.1871
616	199982.5416
617	199859.2581
618	199691.7733
619	199481.2401
620	199317.6564
621	199094.8746
622	198883.1623
623	198649.0559
624	198560.4127
625	198359.6684
626	198209.7155
627	197923.0501
628	197775.2174
629	197589.2801
630	197399.2276
631	197170.2926
632	197035.4196
633	196845.8352
634	196697.4185
635	196508.3322
636	196395.8442
637	196210.4439
638	195963.8991
639	195803.733
640	195639.9589
641	195394.8009
642	195270.6435
643	195075.5901
644	194969.2067
645	194814.6392
646	194659.0511
647	194449.7655
648	194172.1385
649	194060.6282
650	193891.75
651	193701.4744
652	193497.3084
653	193280.4709
654	193165.4915
655	192898.67
656	192730.0295
657	192590.0619
658	192407.703
659	192284.2034
660	192152.0141
661	191956.046
662	191753.3166
663	191602.4433
664	191395.0982
665	191269.2675
666	191022.5618
667	190781.7038
668	190576.4373
669	190386.8545
670	190278.1079
671	190133.2534
672	189949.4862
673	189754.7921
674	189621.4426
675	189509.6515
676	189331.0828
677	189223.4385
678	189092.093
679	188946.2684
680	188826.2021
681	188624.0818
682	188405.4663
683	188271.3144
684	188182.0879
685	188060.5163
686	187843.7092
687	187671.8629
688	187517.3253
689	187258.3804
690	186992.5057
691	186818.5652
692	186647.6129
693	186512.754
694	186357.6212
695	186215.4594
696	186065.4223
697	185888.3609
698	185724.0835
699	185575.5118
700	185471.3407
701	185033.5856
702	184843.3006
703	184743.7515
704	184562.3063
705	184366.7212
706	184182.3949
707	183985.6264
708	183794.3817
709	183584.9188
710	183438.8318
711	183286.7403
712	183060.8067
713	182766.92
714	182642.3444
715	182466.2028
716	182232.7308
717	182078.0694
718	181948.6398
719	181831.0488
720	181629.2817
721	181478.282
722	181260.9354
723	181106.1612
724	180998.0359
725	180832.0612
726	180679.8739
727	180544.7495
728	180434.1848
729	180243.964
730	180118.0963
731	179977.3058
732	179713.1806
733	179541.493
734	179380.3699
735	179201.7707
736	179007.8413
737	178877.6778
738	178793.6719
739	178652.4876
740	178501.1359
741	178403.7272
742	178284.7947
743	178138.448
744	177902.6966
745	177821.7906
746	177664.1548
747	177519.4177
748	177397.8387
749	177214.9874
750	177157.6065
751	177019.5526
752	176901.2848
753	176665.654
754	176558.8052
755	176418.8271
756	176309.3282
757	176174.8648
758	175980.2485
759	175838.9259
760	175699.983
761	175504.3609
762	175402.4414
763	175256.3908
764	175067.8064
765	174851.6742
766	174698.6047
767	174587.7426
768	174475.8593
769	174134.994
770	174026.5438
771	173910.9
772	173777.1508
773	173543.6627
774	173469.9062
775	173336.9474
776	173188.4775
777	173061.8041
778	172930.6508
779	172813.8648
780	172705.85
781	172535.5394
782	172426.924
783	172314.6681
784	172093.4446
785	171887.076
786	171713.4233
787	171603.0135
788	171415.6379
789	171303.288
790	171125.1257
791	170976.4222
792	170878.0303
793	170688.0028
794	170508.4795
795	170313.4844
796	170187.3346
797	170057.7812
798	169850.7332
799	169754.7581
800	169653.4485
801	169543.8974
802	169387.3072
803	169232.0938
804	169108.6768
805	168921.8681
806	168779.2913
807	168624.1023
808	168483.7924
809	168382.8982
810	168247.1539
811	168062.1115
812	167972.8477
813	167806.0677
814	167639.5488
815	167536.1638
816	167398.8399
817	167289.0339
818	167145.9434
819	167033.0552
820	166943.8548
821	166821.2426
822	166668.8174
823	166499.6975
824	166384.4129
825	166224.2168
826	166137.1953
827	166057.1107
828	165835.3639
829	165704.6246
830	165612.7064
831	165423.9301
832	165258.3732
833	165158.9881
834	164916.8335
835	164773.8062
836	164686.7998
837	164519.9585
838	164329.3091
839	164164.3643
840	164009.4234
841	163890.8964
842	163770.8636
843	163663.0748
844	163552.9851
845	163475.4185
846	163328.3733
847	163200.0046
848	163079.9958
849	162960.0138
850	162859.0802
851	162662.586
852	162473.1289
853	162363.6554
854	162273.5741
855	161978.6215
856	161813.339
857	161664.0742
858	161590.1629
859	161438.1352
860	161355.2464
861	161270.8168
862	161174.9201
863	161029.893
864	160936.0953
865	160841.7183
866	160720.1377
867	160588.7019
868	160538.4899
869	160293.5745
870	160188.0769
871	160129.2901
872	159980.0076
873	159879.8885
874	159759.11
875	159687.1463
876	159581.2482
877	159481.5799
878	159329.7252
879	159205.3324
880	159115.1218
881	158984.2249
882	158900.3449
883	158787.1576
884	158662.206
885	158531.0773
886	158357.4002
887	158168.7835
888	158080.7412
889	157872.2801
890	157757.0127
891	157630.193
892	157469.0529
893	157357.5511
894	157273.5215
895	157107.3635
896	156899.351
897	156791.2888
898	156696.5766
899	156540.6785
900	156464.4666
901	156382.7831
902	156228.206
903	156093.6173
904	156018.7664
905	155940.8126
906	155843.0393
907	155710.5171
908	155623.544
909	155532.9283
910	155441.0672
911	155336.3173
912	155235.2518
913	155128.289
914	155059.7815
915	154955.2436
916	154871.6847
917	154730.7328
918	154669.6963
919	154602.4643
920	154437.4409
921	154325.1641
922	154257.6235
923	154187.5444
924	154110.678
925	153913.1822
926	153869.9504
927	153813.6436
928	153748.3964
929	153656.8524
930	153541.4383
931	153386.6005
932	153325.5851
933	153259.2184
934	153158.8193
935	153048.701
936	152943.1373
937	152807.6664
938	152708.7174
939	152625.9512
940	152503.5758
941	152374.2799
942	152247.1992
943	152123.8567
944	152004.1453
945	151889.0026
946	151757.8919
947	151605.1137
948	151509.7492
949	151405.1295
950	151259.0018
951	151121.9935
952	151034.6833
953	150862.8902
954	150629.3467
955	150541.7243
956	150445.9669
957	150384.7888
958	150276.4198
959	150141.9552
960	150025.6309
961	149940.4878
962	149829.5909
963	149741.1102
964	149680.3276
965	149558.1288
966	149489.683
967	149412.5627
968	149298.3777
969	149208.6348
970	149126.085
971	148989.3808
972	148896.3659
973	148792.8623
974	148714.0269
975	148642.4425
976	148528.5123
977	148373.4044
978	148230.6336
979	148070.6306
980	147987.9705
981	147919.9751
982	147787.9352
983	147658.1708
984	147484.8798
985	147401.1076
986	147326.4642
987	147205.3598
988	147070.5497
989	146979.8725
990	146901.3343
991	146845.4003
992	146756.6916
993	146722.0311
994	146652.4442
995	146585.0072
996	146487.2897
997	146380.139
998	146269.7371
999	146174.9389
1000	146002.7096
1001	145894.7403
1002	145698.5387
1003	145589.3842
1004	145483.6341
1005	145376.8125
1006	145278.7938
1007	145106.8087
1008	144953.1883
1009	144809.1062
1010	144728.6401
1011	144670.736
1012	144453.5105
1013	144336.0777
1014	144258.2336
1015	144169.6151
1016	144086.4238
1017	143945.9938
1018	143856.4891
1019	143719.7732
