iter	Passed	Remaining
0	4	16486
1	7	15385
2	11	15050
3	15	15056
4	18	14588
5	22	14713
6	25	14541
7	29	14678
8	32	14554
9	36	14420
10	39	14308
11	42	14277
12	46	14184
13	49	14157
14	52	14049
15	56	14071
16	60	14067
17	63	14084
18	67	14146
19	70	14097
20	74	14141
21	78	14154
22	82	14271
23	86	14263
24	90	14340
25	93	14337
26	97	14324
27	101	14328
28	104	14271
29	107	14248
30	111	14213
31	114	14203
32	117	14173
33	120	14110
34	124	14070
35	127	14023
36	131	14036
37	134	13972
38	137	13941
39	140	13889
40	144	13909
41	146	13831
42	150	13824
43	153	13766
44	156	13773
45	159	13726
46	163	13726
47	166	13680
48	169	13676
49	173	13683
50	176	13667
51	179	13660
52	183	13681
53	186	13639
54	190	13646
55	193	13661
56	198	13707
57	201	13711
58	205	13730
59	208	13712
60	212	13710
61	215	13695
62	219	13721
63	223	13740
64	227	13744
65	230	13762
66	234	13768
67	238	13792
68	241	13774
69	245	13797
70	249	13791
71	253	13813
72	256	13815
73	260	13812
74	263	13780
75	266	13758
76	269	13722
77	273	13730
78	276	13733
79	280	13731
80	283	13718
81	286	13686
82	289	13653
83	292	13644
84	295	13612
85	298	13605
86	301	13572
87	305	13568
88	308	13544
89	311	13539
90	314	13512
91	317	13491
92	320	13470
93	323	13444
94	326	13432
95	330	13427
96	333	13426
97	336	13399
98	340	13398
99	342	13375
100	346	13366
101	349	13344
102	352	13333
103	355	13313
104	358	13300
105	361	13282
106	364	13266
107	368	13269
108	371	13252
109	374	13258
110	378	13245
111	381	13236
112	384	13215
113	387	13203
114	390	13184
115	393	13176
116	396	13153
117	399	13140
118	402	13118
119	405	13100
120	408	13085
121	411	13065
122	414	13057
123	417	13038
124	420	13031
125	423	13016
126	426	13001
127	429	12980
128	432	12963
129	434	12949
130	438	12939
131	441	12932
132	444	12915
133	447	12910
134	450	12897
135	453	12897
136	456	12883
137	459	12871
138	462	12857
139	465	12844
140	469	12838
141	472	12828
142	475	12830
143	478	12822
144	482	12824
145	485	12813
146	488	12812
147	491	12796
148	494	12789
149	497	12772
150	500	12761
151	503	12747
152	506	12736
153	509	12726
154	512	12724
155	516	12732
156	519	12722
157	523	12731
158	526	12720
159	530	12726
160	533	12719
161	536	12721
162	540	12712
163	543	12709
164	546	12703
165	550	12705
166	553	12707
167	557	12717
168	560	12709
169	564	12713
170	567	12702
171	571	12712
172	574	12704
173	578	12713
174	581	12702
175	584	12707
176	587	12697
177	591	12700
178	594	12693
179	598	12702
180	601	12693
181	605	12698
182	608	12688
183	611	12692
184	614	12678
185	616	12641
186	619	12635
187	622	12623
188	626	12627
189	629	12618
190	633	12628
191	636	12624
192	640	12626
193	643	12623
194	646	12620
195	649	12610
196	653	12610
197	656	12601
198	659	12598
199	662	12589
200	666	12594
201	669	12584
202	673	12591
203	676	12580
204	679	12579
205	682	12569
206	685	12565
207	688	12555
208	691	12547
209	694	12536
210	697	12532
211	700	12524
212	704	12517
213	706	12507
214	710	12499
215	713	12500
216	716	12492
217	721	12509
218	724	12514
219	728	12513
220	731	12506
221	734	12502
222	737	12496
223	741	12496
224	744	12489
225	747	12489
226	751	12483
227	754	12483
228	757	12477
229	761	12482
230	764	12480
231	768	12487
232	772	12485
233	775	12486
234	779	12483
235	782	12482
236	785	12474
237	789	12477
238	792	12475
239	796	12475
240	799	12470
241	802	12466
242	805	12460
243	809	12461
244	812	12458
245	816	12458
246	820	12463
247	823	12465
248	827	12470
249	830	12464
250	834	12462
251	837	12456
252	840	12453
253	844	12450
254	848	12455
255	851	12455
256	855	12462
257	859	12461
258	862	12465
259	866	12463
260	870	12468
261	873	12468
262	877	12471
263	881	12473
264	885	12475
265	888	12478
266	892	12476
267	896	12481
268	899	12480
269	903	12487
270	907	12485
271	911	12490
272	915	12495
273	918	12495
274	922	12500
275	926	12500
276	930	12504
277	933	12503
278	937	12506
279	941	12508
280	945	12511
281	948	12510
282	952	12509
283	956	12511
284	959	12509
285	963	12513
286	967	12514
287	971	12520
288	975	12521
289	979	12526
290	983	12531
291	987	12533
292	991	12541
293	995	12543
294	999	12550
295	1003	12552
296	1007	12555
297	1011	12560
298	1014	12560
299	1018	12564
300	1022	12565
301	1026	12566
302	1029	12561
303	1033	12563
304	1036	12562
305	1040	12564
306	1044	12569
307	1048	12568
308	1052	12571
309	1056	12571
310	1060	12573
311	1063	12576
312	1067	12578
313	1071	12581
314	1075	12579
315	1079	12580
316	1082	12577
317	1086	12577
318	1089	12575
319	1093	12577
320	1097	12578
321	1101	12579
322	1104	12578
323	1108	12581
324	1113	12588
325	1116	12587
326	1120	12590
327	1124	12588
328	1128	12592
329	1132	12594
330	1136	12594
331	1140	12597
332	1144	12599
333	1148	12603
334	1152	12607
335	1156	12609
336	1160	12612
337	1164	12613
338	1168	12615
339	1172	12617
340	1176	12620
341	1180	12624
342	1184	12625
343	1188	12628
344	1192	12630
345	1196	12632
346	1200	12634
347	1204	12636
348	1208	12642
349	1212	12639
350	1216	12642
351	1219	12641
352	1223	12644
353	1227	12645
354	1231	12644
355	1235	12643
356	1238	12636
357	1242	12636
358	1245	12631
359	1249	12632
360	1252	12627
361	1256	12626
362	1260	12624
363	1263	12622
364	1267	12618
365	1270	12617
366	1274	12612
367	1277	12612
368	1281	12607
369	1284	12605
370	1288	12603
371	1291	12600
372	1295	12597
373	1298	12592
374	1302	12587
375	1305	12581
376	1308	12578
377	1311	12571
378	1315	12564
379	1318	12560
380	1322	12559
381	1325	12553
382	1328	12548
383	1332	12543
384	1335	12543
385	1339	12541
386	1343	12541
387	1346	12534
388	1350	12533
389	1353	12531
390	1357	12531
391	1360	12525
392	1364	12523
393	1367	12519
394	1371	12518
395	1374	12512
396	1378	12511
397	1382	12513
398	1386	12514
399	1390	12513
400	1394	12512
401	1397	12511
402	1401	12507
403	1405	12508
404	1408	12504
405	1412	12503
406	1416	12500
407	1419	12500
408	1423	12495
409	1426	12492
410	1429	12485
411	1433	12483
412	1436	12477
413	1440	12476
414	1443	12470
415	1447	12469
416	1450	12463
417	1454	12461
418	1457	12454
419	1460	12451
420	1464	12449
421	1467	12444
422	1470	12438
423	1474	12433
424	1477	12427
425	1481	12426
426	1484	12422
427	1488	12418
428	1491	12415
429	1495	12412
430	1499	12418
431	1503	12414
432	1506	12412
433	1509	12406
434	1513	12405
435	1516	12398
436	1520	12398
437	1523	12391
438	1527	12389
439	1531	12388
440	1535	12392
441	1539	12393
442	1543	12391
443	1547	12390
444	1550	12389
445	1554	12388
446	1558	12390
447	1562	12389
448	1565	12383
449	1569	12381
450	1573	12380
451	1576	12374
452	1580	12372
453	1583	12369
454	1587	12370
455	1590	12363
456	1594	12362
457	1597	12356
458	1601	12352
459	1604	12344
460	1607	12340
461	1610	12332
462	1613	12327
463	1616	12320
464	1619	12312
465	1622	12304
466	1625	12297
467	1628	12291
468	1631	12284
469	1635	12281
470	1638	12275
471	1641	12270
472	1644	12262
473	1647	12257
474	1650	12250
