,District,Neighborhood,Num_Of_Room,Area,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Metro_Station,Bus_Stop,Minibus_Stop,Hospital,Emergency_Service,University,Shopping_Mall,Floor,Price
0,Çankaya,Birlik,4,155.0,19.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.4,0.213,2.7,0.652,0.644,2.3,1.3,2. Kat,3250000.0
1,Çankaya,Naci Çakır,4,130.0,25.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,4.7,0.204,1.2,0.438,0.444,1.7,1.7,2. Kat,2549000.0
2,Gölbaşı,İncek,4,100.0,0.0,Kombi,3.0,Uygun,Eşyalı Değil,2.0,9.2,0.25,7.4,3.0,5.0,2.6,3.9,3. Kat,2600000.0
3,Keçiören,Güzelyurt,4,135.0,15.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,1.4,0.268,1.3,1.0,1.1,5.1,2.4,3. Kat,1280000.0
4,Sincan,Malazgirt,4,128.0,15.0,Kombi,4.0,Uygun,Eşyalı,1.0,2.9,0.102,1.2,1.1,1.1,10.2,1.6,1. Kat,1599000.0
5,Etimesgut,Alsancak,4,115.0,25.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,5.0,0.143,4.5,1.5,1.5,3.1,1.1,Bahçe Katı,845000.0
6,Etimesgut,Ayyıldız,7,380.0,8.0,Kombi,5.0,Uygun,Eşyalı Değil,2.0,4.7,0.06,1.8,1.7,1.6,5.6,3.0,Teras Katı,3495000.0
7,Etimesgut,Fatih Sultan,6,294.0,5.0,Merkezi (Pay Ölçer),16.0,Uygun,Eşyalı Değil,3.0,1.9,0.034,6.2,1.7,2.9,0.974,1.5,16. Kat,10000000.0
8,Çankaya,Karapınar,4,135.0,15.0,Kombi,6.0,Uygun,Eşyalı Değil,1.0,4.4,0.111,0.718,1.8,1.1,3.1,1.8,2. Kat,3040000.0
9,Yenimahalle,Turgut Özal,4,145.0,12.0,Kombi,8.0,Uygun,Eşyalı Değil,2.0,0.788,0.143,1.1,2.0,2.0,4.6,2.5,8. Kat,3250000.0
10,Etimesgut,Yapracık,4,117.0,11.0,Merkezi (Pay Ölçer),13.0,Uygun değil,Eşyalı Değil,1.0,9.3,1.9,8.6,7.1,8.8,5.3,4.5,Yüksek Giriş,1300000.0
11,Çankaya,Naci Çakır,4,100.0,25.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,4.5,0.126,1.2,0.429,0.437,1.9,1.6,Giriş Katı,1800000.0
12,Mamak,Şirintepe,4,125.0,9.0,Kombi,4.0,Uygun,Eşyalı Değil,1.0,4.0,0.108,1.4,1.1,1.1,5.0,2.4,1. Kat,2200000.0
13,Çankaya,İlkadım,4,135.0,30.0,Kombi,3.0,Uygun,Eşyalı Değil,1.0,3.9,0.045,0.872,0.478,0.478,2.5,1.5,2. Kat,1650000.0
14,Sincan,Törekent,4,305.0,10.0,Kombi,2.0,Uygun,Eşyalı Değil,1.0,0.764,0.088,3.4,1.1,1.9,11.7,3.7,Villa Katı,3140000.0
