,District,Neighborhood,Num_Of_Room,Area,Floor,Age,Heat_type,Apt_Floor,Credit_Eli,Items,Num_of_Bath,Usage,Price
0,Keçiören,Etlik,4,145.0,interstage,16.0,Kombi,4.0,1.0,0,2.0,Boş,2790000.0
1,Çankaya,Birlik,8,340.0,interstage,18.0,Kombi,4.0,1.0,0,3.0,Boş,4450000.0
2,Keçiören,Ovacık,5,215.0,interstage,0.0,Merkezi (Pay Ölçer),13.0,1.0,0,2.0,Boş,4350000.0
3,Keçiören,Etlik,4,110.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Mülk Sahibi,1249000.0
4,Çankaya,Keklik Pınarı,4,120.0,interstage,26.0,Kombi,10.0,1.0,0,1.0,Boş,2445000.0
5,Etimesgut,Bağlıca,5,210.0,interstage,0.0,Merkezi (Pay Ölçer),21.0,1.0,0,2.0,Boş,4950000.0
6,Çankaya,Emek,5,147.0,interstage,30.0,Merkezi,11.0,1.0,0,1.0,Kiracılı,4100000.0
7,Çankaya,Naci Çakır,4,125.0,interstage,22.0,Kombi,2.0,1.0,0,2.0,Boş,2185000.0
8,Yenimahalle,Demetevler,4,125.0,interstage,30.0,Kombi,9.0,1.0,0,1.0,Mülk Sahibi,1399000.0
9,Çankaya,Huzur,5,350.0,interstage,5.0,Kombi,3.0,1.0,0,3.0,Mülk Sahibi,3048000.0
10,Çankaya,Akpınar,4,180.0,interstage,17.0,Kombi,5.0,1.0,0,1.0,Mülk Sahibi,3250000.0
11,Gölbaşı,İncek,4,176.0,interstage,8.0,Merkezi (Pay Ölçer),24.0,1.0,0,2.0,Kiracılı,3080000.0
12,Etimesgut,Bağlıca,4,180.0,interstage,6.0,Kombi,6.0,1.0,0,2.0,Kiracılı,3050000.0
13,Çankaya,Kırkkonaklar,4,135.0,interstage,9.0,Merkezi (Pay Ölçer),5.0,1.0,0,2.0,Mülk Sahibi,3850000.0
14,Pursaklar,Mimar Sinan,5,185.0,interstage,5.0,Kombi,8.0,1.0,0,2.0,Boş,2590000.0
15,Keçiören,Atapark,4,135.0,interstage,7.0,Kombi,5.0,1.0,0,2.0,Mülk Sahibi,1445000.0
16,Etimesgut,Yeni Bağlıca,5,260.0,interstage,0.0,Merkezi,10.0,1.0,0,2.0,Boş,4990000.0
17,Etimesgut,Yeni Bağlıca,5,260.0,interstage,0.0,Merkezi,10.0,1.0,0,2.0,Boş,5175000.0
18,Çankaya,Kızılırmak,5,185.0,interstage,15.0,Merkezi (Pay Ölçer),12.0,1.0,0,1.0,Boş,5150000.0
21,Yenimahalle,Tepealtı,3,105.0,interstage,13.0,Kombi,3.0,1.0,1,1.0,Kiracılı,1730000.0
22,Etimesgut,Bağlıca,5,170.0,interstage,7.0,Kombi,6.0,1.0,0,2.0,Mülk Sahibi,3400000.0
23,Etimesgut,Yeni Bağlıca,5,170.0,interstage,8.0,Kombi,8.0,1.0,0,2.0,Kiracılı,3299000.0
24,Keçiören,Yakacık,4,130.0,interstage,25.0,Merkezi,14.0,1.0,0,1.0,Kiracılı,2250000.0
25,Çankaya,Sokullu Mehmet Paşa,3,95.0,interstage,26.0,Kombi,3.0,1.0,0,1.0,Boş,1890000.0
26,Çankaya,Osman Temiz,5,175.0,interstage,24.0,Kombi,2.0,1.0,0,2.0,Boş,3250000.0
27,Çankaya,Şehit Cevdet Özdemir,3,95.0,interstage,28.0,Kombi,3.0,1.0,1,1.0,Kiracılı,1400000.0
28,Gölbaşı,Seğmenler,5,145.0,interstage,0.0,Kombi,5.0,1.0,0,2.0,Boş,3680000000.0
29,Etimesgut,Bağlıca,5,215.0,interstage,0.0,Merkezi (Pay Ölçer),21.0,1.0,0,2.0,Boş,5280000.0
30,Etimesgut,Bağlıca,3,110.0,interstage,0.0,Merkezi (Pay Ölçer),5.0,1.0,0,2.0,Boş,4100000.0
31,Etimesgut,Bağlıca,5,209.0,interstage,0.0,Merkezi (Pay Ölçer),21.0,1.0,0,2.0,Boş,5720000.0
32,Çankaya,Meşrutiyet,2,60.0,interstage,35.0,Kombi,5.0,1.0,1,1.0,Boş,1090000.0
33,Keçiören,Ovacık,5,200.0,interstage,2.0,Merkezi (Pay Ölçer),17.0,1.0,0,2.0,Mülk Sahibi,3099000.0
34,Çankaya,Kırkkonaklar,7,350.0,interstage,13.0,Kombi,3.0,1.0,0,1.0,Boş,4750000.0
35,Çankaya,Kırkkonaklar,7,350.0,interstage,13.0,Kombi,3.0,1.0,0,1.0,Boş,4750000.0
36,Keçiören,Ayvalı,4,160.0,interstage,0.0,Merkezi,6.0,1.0,0,2.0,Boş,2250000.0
37,Etimesgut,Yeni Bağlıca,5,200.0,interstage,10.0,Merkezi (Pay Ölçer),10.0,1.0,0,2.0,Mülk Sahibi,4250000.0
38,Çankaya,Büyükesat,4,140.0,interstage,30.0,Kombi,2.0,1.0,0,1.0,Mülk Sahibi,3150000.0
39,Çankaya,Emek,3,85.0,interstage,0.0,Kombi,4.0,1.0,0,1.0,Boş,2700000.0
40,Keçiören,Ovacık,6,320.0,interstage,1.0,Kombi,5.0,1.0,0,1.0,Boş,2699000.0
41,Çankaya,Sokullu Mehmet Paşa,4,125.0,interstage,25.0,Kombi,3.0,1.0,0,1.0,Boş,2150000.0
42,Etimesgut,Bağlıca,5,175.0,interstage,5.0,Kombi,8.0,1.0,0,2.0,Kiracılı,3300000.0
