,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Kullanım Durumu,Takas,Cephe,Rent,Tapu Durumu,Yapı Tipi,Yapının Durumu,Aidat,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Site İçerisinde
0,Ankara,Gölbaşı,Hacılar,90947-44,05-04-2023,7 + 2,550 m2,Bahçe Katı,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,6,Boş,Hayır,"Kuzey, Güney, Doğu, Batı",17.700.000 TL,,,,,,,,
1,Ankara,Yenimahalle,Çiğdemtepe,56045-5538,13-04-2023,3 + 1,130 m2,3. Kat,14 Yaşında,Kombi,3 Katlı,Uygun,,1,Kiracılı,,,1.250.000 TL,Kat Mülkiyeti,,,,,,,
2,Ankara,Keçiören,Kanuni,56045-5537,13-04-2023,4 + 1,250 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),17 Katlı,Uygun,,2,Boş,,,4.245.000 TL,Kat Mülkiyeti,,,,,,,
3,Ankara,Yenimahalle,Yunus Emre,56045-5536,13-04-2023,3 + 1,105 m2,2. Kat,28 Yaşında,Kombi,2 Katlı,Uygun,,1,Boş,,,1.629.000 TL,Kat Mülkiyeti,,,,,,,
4,Ankara,Keçiören,Etlik,16354-23813,13-04-2023,3 + 1,145 m2,2. Kat,16 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Boş,Evet,"Kuzey, Güney, Doğu, Batı",2.790.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,10.000 TL,Doğalgaz,Evet,
5,Ankara,Etimesgut,Yeni Bağlıca,134072-34,23-03-2023,8 + 0,375 m2,,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,3,Kiracılı,Hayır,"Kuzey, Güney, Doğu, Batı",6.650.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,200 TL,19.000 TL,Doğalgaz,Evet,
6,Ankara,Çankaya,Birlik,134072-17,13-04-2023,6 + 2,340 m2,4. Kat,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Boş,Hayır,"Güney, Doğu, Batı",4.450.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,600 TL,15.000 TL,Doğalgaz,Evet,
7,Ankara,Etimesgut,Yeni Bağlıca,136890-14,02-04-2023,5 + 2,400 m2,,Sıfır Bina,Yerden Isıtma,3 Katlı,Uygun,Eşyalı,4,Boş,Evet,"Kuzey, Güney, Doğu, Batı",9.450.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,,40.000 TL,Doğalgaz,Evet,
8,Ankara,Keçiören,Ovacık,4901-4399,12-04-2023,4 + 1,215 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,2,Boş,Evet,"Kuzey, Güney, Doğu, Batı",4.350.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,500 TL,15.000 TL,Doğalgaz,Evet,
9,Ankara,Keçiören,Etlik,4901-4400,12-04-2023,3 + 1,110 m2,Kot 2,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Mülk Sahibi,Evet,"Kuzey, Güney, Doğu, Batı",1.249.000 TL,Kat Mülkiyeti,Betonarme,İkinci El,100 TL,7.000 TL,Doğalgaz,Evet,
10,Ankara,Çankaya,Keklik Pınarı,129560-75,13-04-2023,3 + 1,120 m2,1. Kat,26 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Boş,Evet,"Güney, Batı",2.445.000 TL,Kat Mülkiyeti,Betonarme,Sıfır,400 TL,13.000 TL,Doğalgaz,Evet,
