,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Yakıt Tipi,Yetkili Ofis,Rent,Tapu Durumu,Takas,Kira Getirisi,Site İçerisinde
0,Ankara,Yenimahalle,Turgut Özal,22551-1037,13-04-2023,3 + 1,135 m2,5. Kat,8 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,200 TL,"Kuzey, Batı",Doğalgaz,Evet,2.450.000 TL,,,,
1,Ankara,Çankaya,Murat,24468-1363,13-04-2023,2 + 1,120 m2,Ara Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,50 TL,Batı,Doğalgaz,Evet,1.500.000 TL,Kat Mülkiyeti,Hayır,5.000 TL,
2,Ankara,Çankaya,Sokullu Mehmet Paşa,119869-647,13-04-2023,2 + 1,100 m2,Kot 1,27 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,"Kuzey, Doğu",Doğalgaz,Evet,1.890.000 TL,Kat Mülkiyeti,Hayır,7.000 TL,
3,Ankara,Sincan,Pınarbaşı,112240-510,13-04-2023,3 + 1,130 m2,3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Mülk Sahibi,,"Güney, Batı",,,1.149.000 TL,Kat Mülkiyeti,Hayır,,
4,Ankara,Keçiören,Bademlik,85346-323,13-04-2023,6 + 1,380 m2,3. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,Mülk Sahibi,,"Güney, Doğu",,,2.600.000 TL,Kat Mülkiyeti,Hayır,,
5,Ankara,Çankaya,Bahçelievler,5152-1243,13-04-2023,3 + 1,125 m2,Ara Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Güney,Doğalgaz,Evet,3.625.000 TL,Kat İrtifakı,Hayır,18.000 TL,
6,Ankara,Gölbaşı,Tulumtaş,10249-3896,13-04-2023,5 + 1,300 m2,,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu, Batı",Doğalgaz,Evet,7.175.000 TL,Kat Mülkiyeti,,,"Komkent Sitesi (Ankara, Gölbaşı, Tulumtaş)"
7,Ankara,Çubuk,Yıldırım Beyazıt,117361-706,13-04-2023,2 + 1,70 m2,En Üst Kat,Sıfır Bina,Yerden Isıtma,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,"Güney, Doğu",Doğalgaz,Evet,990.000 TL,Kat İrtifakı,Evet,,
8,Ankara,Çankaya,Sokullu Mehmet Paşa,5438-24337,13-04-2023,3 + 1,135 m2,Giriş Katı,33 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Batı,Doğalgaz,Evet,1.189.000 TL,Kat Mülkiyeti,Evet,5.000 TL,
9,Ankara,Mamak,Şehit Cengiz Topel,101720-360,13-04-2023,3 + 1,110 m2,Yüksek Giriş,7 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,10 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,1.650.000 TL,Kat Mülkiyeti,Hayır,6.000 TL,
10,Ankara,Çankaya,Birlik,80588-1483,13-04-2023,3 + 1,150 m2,Yüksek Giriş,15 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,2.100 TL,"Doğu, Batı",Doğalgaz,Evet,4.100.000 TL,Kat Mülkiyeti,Hayır,20.000 TL,
11,Ankara,Keçiören,İncirli,129057-157,12-04-2023,3 + 1,120 m2,Giriş Katı,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,"Kuzey, Batı",Doğalgaz,Evet,1.390.000 TL,Kat Mülkiyeti,Hayır,,
12,Ankara,Yenimahalle,Gayret,89176-2644,13-04-2023,3 + 1,130 m2,9. Kat,40 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,1.475.000 TL,Kat Mülkiyeti,Hayır,5.000 TL,
13,Ankara,Çankaya,Mebusevleri,39194-1617,13-04-2023,3 + 1,130 m2,3. Kat,40 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,660 TL,"Güney, Batı",Doğalgaz,Evet,3.600.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
14,Ankara,Çankaya,Keklik Pınarı,17943-1546,13-04-2023,3 + 1,135 m2,4. Kat,40 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,"Doğu, Batı",Doğalgaz,Evet,1.750.000 TL,Kat Mülkiyeti,Hayır,7.500 TL,
15,Ankara,Mamak,General Zeki Doğan,63484-4532,13-04-2023,2 + 1,122 m2,3. Kat,20 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,,"Güney, Doğu",Doğalgaz,Evet,1.450.000 TL,Kat Mülkiyeti,Hayır,,
16,Ankara,Çankaya,Emek,1170-5676,13-04-2023,4 + 1,150 m2,4. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,"Kuzey, Doğu, Batı",Doğalgaz,Evet,4.000.000 TL,Kat Mülkiyeti,Hayır,,
17,Ankara,Çankaya,100. Yıl,6453-2651,13-04-2023,4 + 1,220 m2,1. Kat,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150 TL,"Güney, Doğu",Doğalgaz,Evet,4.500.000 TL,Kat Mülkiyeti,Hayır,15.000 TL,
18,Ankara,Çankaya,Karapınar,53453-2354,13-04-2023,3 + 1,100 m2,Giriş Katı,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,"Doğu, Batı",Doğalgaz,Evet,1.950.000 TL,Kat Mülkiyeti,Hayır,5.000 TL,
19,Ankara,Çankaya,Aşağı Öveçler,20743-2036,13-04-2023,3 + 1,115 m2,1. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,100 TL,Batı,Doğalgaz,Evet,2.200.000 TL,Kat Mülkiyeti,Hayır,5.000 TL,
20,Ankara,Akyurt,Yıldırım,92718-41,12-04-2023,3 + 1,145 m2,En Üst Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,50 TL,Batı,Doğalgaz,Evet,1.615 TL,Kat İrtifakı,Evet,5.000 TL,
21,Ankara,Çankaya,İlkbahar,16177-1335,13-04-2023,3 + 1,120 m2,4. Kat,2 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,1.250 TL,Batı,Doğalgaz,Evet,3.850.000 TL,Kat Mülkiyeti,Hayır,12.000 TL,
22,Ankara,Çankaya,Bağcılar,95188-351,13-04-2023,6 + 1,240 m2,3. Kat,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",Doğalgaz,,2.250.000 TL,Kat Mülkiyeti,,4.000 TL,
23,Ankara,Sincan,Fatih,7331-1259,12-04-2023,3 + 1,120 m2,,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,"Güney, Doğu, Batı",Doğalgaz,Evet,4.750.000 TL,Kat Mülkiyeti,Hayır,6.000 TL,
24,Ankara,Çankaya,Doğuş,42363-1053,13-04-2023,3 + 1,110 m2,1. Kat,45 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,50 TL,"Güney, Batı",Doğalgaz,Evet,1.780.000 TL,Kat Mülkiyeti,Hayır,7.500 TL,
25,Ankara,Etimesgut,Topçu,68360-1516,13-04-2023,5 + 1,230 m2,3. Kat,13 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracılı,50 TL,Doğu,Doğalgaz,Evet,1.850.000 TL,Kat Mülkiyeti,Hayır,,
26,Ankara,Çankaya,Gökkuşağı,6493-2757,13-04-2023,4 + 1,170 m2,2. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,Batı,Doğalgaz,Evet,3.400.000 TL,Kat Mülkiyeti,,7.000 TL,
27,Ankara,Çankaya,Maltepe,69912-651,13-04-2023,3 + 1,125 m2,1. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,,750 TL,"Güney, Doğu",Doğalgaz,Evet,2.800.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
28,Ankara,Çankaya,İlker,15746-977,13-04-2023,3 + 1,145 m2,3. Kat,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,80 TL,"Doğu, Batı",Doğalgaz,Evet,1.450.000 TL,Kat İrtifakı,Hayır,8.500 TL,
29,Ankara,Sincan,Mareşal Çakmak,97141-10822,13-04-2023,3 + 1,165 m2,1. Kat,4 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,100 TL,"Güney, Batı",Doğalgaz,Evet,1.950.000 TL,Kat Mülkiyeti,Hayır,8.000 TL,
30,Ankara,Yenimahalle,Çiğdemtepe,64542-13010,13-04-2023,4 + 1,165 m2,2. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,100 TL,"Güney, Doğu",Doğalgaz,Evet,2.390.000 TL,Kat Mülkiyeti,Evet,10.000 TL,Evet (Site Adı Belirtilmemiş)
31,Ankara,Mamak,Ekin,88358-1156,12-04-2023,3 + 1,140 m2,2. Kat,2 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kiracılı,150 TL,"Kuzey, Güney, Doğu",Doğalgaz,Evet,1.435.000 TL,Kat Mülkiyeti,Hayır,7.500 TL,
32,Ankara,Yenimahalle,Ata,115933-417,13-04-2023,4 + 1,185 m2,21 ve üzeri,5 Yaşında,Yerden Isıtma,32 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Kiracılı,1.200 TL,"Güney, Doğu, Batı",Doğalgaz,Evet,3.975.000 TL,Kat Mülkiyeti,Hayır,16.000 TL,
33,Ankara,Çankaya,Muhsin Ertuğrul,40002-2082,13-04-2023,3 + 1,150 m2,En Üst Kat,40 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,Kiracılı,50 TL,Doğu,Doğalgaz,Evet,2.900.000 TL,Kat Mülkiyeti,Hayır,3.250 TL,
34,Ankara,Keçiören,Ayvalı,121721-361,13-04-2023,3 + 1,120 m2,2. Kat,23 Yaşında,Kombi,4 Katlı,Uygun,,1,Betonarme,İkinci El,Kiracılı,,"Güney, Doğu",Doğalgaz,Evet,1.880.000 TL,Kat Mülkiyeti,,,
