,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Tapu Durumu,Site İçerisinde,Yakıt Tipi,Yetkili Ofis,Metro İstasyonu,Durak (Otobüs),Durak (Minibüs),Otogar,Hastane,Acil Servis,Aile Sağlığı Merkezi,Sağlık Kurumları/Diğer,Üniversite,Üniversite Kampüs,İlkokul,Lise,Zincir Marketler,Bakkal/Market,Alışveriş Merkezi,Şarküteri,Rent,Kullanım Durumu,Takas,Kira Getirisi,Aidat,Cephe,Havaalanı,Gar,Poliklinik,Yüksek Okul/Akademi,Ortaokul,Gıda Satış Noktaları,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Tren İstasyonu/Şehiriçi,Tren İstasyonu/Şehirlerarası,Veteriner,Kreş/Gündüz Bakımevi
0,Ankara,Çankaya,Kırkkonaklar,129908-377,10-05-2023,3 + 1,170 m2,3. Kat,23 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,Evet (Site Adı Belirtilmemiş),Doğalgaz,Evet,"4,9 km",103 m,2 km,"7,5 km","1,4 km","1,4 km",389 m,430 m,3 km,5 km,556 m,296 m,155 m,215 m,"1,8 km",663 m,4.550.000 TL,,,,,,,,,,,,,,,,,,
1,Ankara,Mamak,Altıağaç,129908-378,10-05-2023,3 + 1,120 m2,11. Kat,3 Yaşında,Kombi,11 Katlı,Uygun,Eşyalı Değil,1,Betonarme,,Kat Mülkiyeti,,Doğalgaz,Evet,3 km,223 m,"2,7 km","6,6 km",486 m,477 m,292 m,"1,2 km","4,6 km","3,5 km",423 m,185 m,78 m,49 m,"3,5 km",104 m,1.950.000 TL,Boş,,,,,,,,,,,,,,,,,
2,Ankara,Keçiören,Etlik,135726-48,10-05-2023,2 + 1,110 m2,8. Kat,25 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"2,7 km",57 m,"1,5 km","2,1 km",9 m,9 m,441 m,505 m,"1,5 km","1,2 km",80 m,357 m,48 m,88 m,"1,7 km",88 m,1.995.000 TL,Boş,Hayır,12.000 TL,,,,,,,,,,,,,,,
3,Ankara,Çankaya,Şehit Cevdet Özdemir,112014-448,10-05-2023,4 + 1,170 m2,En Üst Kat,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"4,1 km",127 m,292 m,"4,8 km",459 m,892 m,557 m,656 m,"2,6 km","6,2 km",249 m,514 m,272 m,76 m,2 km,268 m,3.190.000 TL,Boş,Hayır,15.000 TL,50 TL,"Güney, Batı",,,,,,,,,,,,,
4,Ankara,Çankaya,Ayrancı,16814-7018,10-05-2023,3 + 1,125 m2,Bahçe Katı,40 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"1,7 km",141 m,"2,2 km","3,5 km",899 m,899 m,261 m,312 m,1 km,"3,5 km",557 m,120 m,329 m,29 m,"1,5 km",283 m,2.350.000 TL,Kiracılı,Hayır,4.000 TL,800 TL,"Güney, Doğu, Batı",,,,,,,,,,,,,
5,Ankara,Keçiören,Etlik,119539-145,10-05-2023,4 + 1,150 m2,2. Kat,13 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"3,1 km",60 m,"1,4 km",3 km,1 km,1 km,363 m,887 m,"1,5 km","1,4 km",286 m,229 m,40 m,59 m,"1,8 km",69 m,2.650.000 TL,Boş,Evet,12.000 TL,,"Güney, Doğu",,,,,,,,,,,,,
6,Ankara,Gölbaşı,Velihimmetli,130612-31,10-05-2023,10 + 1,600 m2,,7 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,,,Doğalgaz,,,69 m,"17,1 km",,"15,9 km","16,6 km","7,2 km","16,7 km","15,1 km","16,3 km",62 m,"12,2 km","6,1 km",90 m,"16,7 km","13,5 km",13.000.000 TL,Boş,Evet,,,"Güney, Doğu",,,,,,,,,,,,,
7,Ankara,Çankaya,Bahçelievler,133559-62,10-05-2023,2 + 1,80 m2,Giriş Katı,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,"1,8 km",140 m,781 m,,"1,3 km","1,2 km",400 m,"1,2 km","1,7 km","1,9 km",290 m,278 m,156 m,42 m,"1,6 km",239 m,2.599.000 TL,Kiracılı,Hayır,10.000 TL,100 TL,Batı,"18,3 km",,,,,,,,,,,,
8,Ankara,Polatlı,Cumhuriyet,137574-123,09-05-2023,3 + 1,135 m2,En Üst Kat,27 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,,Doğalgaz,,,23 m,217 m,"1,1 km",846 m,847 m,340 m,,,,279 m,229 m,74 m,40 m,"1,3 km",73 m,710.000 TL,Mülk Sahibi,Hayır,,,,,"3,2 km",444 m,"2,2 km",435 m,,,,,,,,
9,Ankara,Çankaya,Naci Çakır,2744-13577,09-05-2023,3 + 1,130 m2,2. Kat,22 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,"4,3 km",56 m,"1,3 km","5,6 km",540 m,549 m,659 m,884 m,"2,1 km","6,1 km",24 m,651 m,29 m,154 m,"1,3 km",137 m,2.340.000 TL,Boş,Evet,12.000 TL,70 TL,"Güney, Doğu",,,,,,,,,,,,,
10,Ankara,Çankaya,Emek,1170-5708,09-05-2023,4 + 1,150 m2,4. Kat,35 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Kat Mülkiyeti,,Doğalgaz,Evet,631 m,331 m,"2,7 km",1 km,486 m,714 m,450 m,390 m,"1,4 km",2 km,350 m,230 m,122 m,139 m,"1,8 km",120 m,3.900.000 TL,Boş,Hayır,,,"Kuzey, Doğu, Batı",,,,,,,,,,,,,
11,Ankara,Etimesgut,Bağlıca,136681-1,09-05-2023,4 + 1,210 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),21 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Kat İrtifakı,,Doğalgaz,Evet,"5,4 km",49 m,"5,8 km","16,5 km","4,2 km",6 km,382 m,"2,2 km","2,6 km","8,7 km",347 m,399 m,359 m,"1,9 km","4,7 km",52 m,4.950.000 TL,Boş,Evet,10.000 TL,,"Kuzey, Güney, Doğu, Batı",,,,,,,,,,,,,
12,Ankara,Çankaya,Metin Oktay,1170-5723,09-05-2023,2 + 1,70 m2,Kot 1,35 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kat Mülkiyeti,,Doğalgaz,Evet,2 km,60 m,"2,2 km","5,4 km",782 m,562 m,519 m,1 km,"1,7 km","2,2 km",166 m,207 m,111 m,57 m,"1,3 km",159 m,1.000.000 TL,Boş,Hayır,,,"Kuzey, Doğu",,,,,,,,,,,,,
