,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Yetkili Ofis,Rent,Aidat,Site İçerisinde,Depozito
0,Ankara,Gölbaşı,Gaziosmanpaşa,26622-31,11-04-2023,3 + 1,150 m2,Ara Kat,17 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat İrtifakı,Hayır,"Güney, Doğu, Batı",5.000 TL,Doğalgaz,Evet,1.490.000 TL,,,
1,Ankara,Sincan,Fevzi Çakmak,114466-932,08-04-2023,3 + 1,125 m2,Yüksek Giriş,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",,,,1.245.000 TL,100 TL,,
2,Ankara,Çankaya,Bahçelievler,41304-2647,11-04-2023,1 + 1,85 m2,Bahçe Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Hayır,,12.000 TL,Doğalgaz,Evet,2.500.000 TL,200 TL,,
3,Ankara,Çankaya,Çukurambar,137001-7,04-04-2023,6 + 1,389 m2,21 ve üzeri,Sıfır Bina,Fancoil Ünitesi,32 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Yapım Aşamasında,Boş,,Hayır,,110.000 TL,Elektrik,,16.793.888 TL,,Cubes Ankara,
4,Ankara,Gölbaşı,Karşıyaka,1248-2174,12-04-2023,6 + 2,800 m2,,Sıfır Bina,Kombi,4 Katlı,Uygun,,5,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,,24.000.000 TL,,,
5,Ankara,Yenimahalle,Güventepe,128158-458,06-04-2023,4 + 1,200 m2,13. Kat,4 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,Hayır,Batı,15.000 TL,Doğalgaz,Evet,3.150.000 TL,,,
6,Ankara,Çankaya,Sancak,40334-198,13-04-2023,3 + 1,130 m2,Bahçe Katı,40 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,Hayır,Batı,6.000 TL,Doğalgaz,Evet,1.295.000 TL,50 TL,,
7,Ankara,Çankaya,Mutlukent,54777-741,11-04-2023,1 + 1,70 m2,Kot 2,1 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Evet,Batı,6.500 TL,Doğalgaz,Evet,935.000 TL,500 TL,,
8,Ankara,Keçiören,Uyanış,89354-953,01-04-2023,3 + 1,130 m2,Yüksek Giriş,25 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Evet,Güney,5.500 TL,Doğalgaz,Evet,1.695.000 TL,50 TL,,
9,Ankara,Keçiören,İncirli,3704-11227,24-03-2023,3 + 1,115 m2,Yüksek Giriş,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",5.000 TL,Doğalgaz,Evet,1.080.000 TL,30 TL,,
10,Ankara,Keçiören,Aşağı Eğlence,56045-5513,10-04-2023,3 + 1,120 m2,3. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,,"Kuzey, Güney, Batı",,Doğalgaz,Evet,1.580.000 TL,,,
11,Ankara,Keçiören,Kanuni,45377-813,11-04-2023,3 + 1,150 m2,1. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu, Batı",5.000 TL,Doğalgaz,,1.749.000 TL,50 TL,,
12,Ankara,Etimesgut,Kazım Karabekir,28851-15454,12-04-2023,3 + 1,126 m2,1. Kat,18 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,Hayır,"Güney, Batı",,Doğalgaz,Evet,1.800.000 TL,50 TL,,
13,Ankara,Etimesgut,Turkuaz,123623-781,12-04-2023,3 + 1,145 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,Evet,"Kuzey, Güney, Doğu, Batı",,Doğalgaz,Evet,3.600.000 TL,,turkuaz,
14,Ankara,Altındağ,Beşikkaya,70180-3853,12-04-2023,3 + 1,120 m2,1. Kat,7 Yaşında,Kombi,3 Katlı,Uygun,,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Doğu",7.000 TL,Doğalgaz,Evet,1.700.000 TL,100 TL,,
15,Ankara,Etimesgut,Topçu,16407-10358,12-04-2023,3 + 1,135 m2,4. Kat,15 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,"Güney, Batı",7.000 TL,Doğalgaz,Evet,1.575.000 TL,50 TL,,
16,Ankara,Mamak,Şirintepe,121128-1999,10-04-2023,3 + 1,115 m2,Giriş Katı,2 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Güney,,Doğalgaz,Evet,1.450.000 TL,,,
17,Ankara,Çankaya,Konutkent,102968-2568,30-03-2023,1 + 1,47 m2,5. Kat,1 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Uygun değil,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,Hayır,Batı,,,,1.950.000 TL,1.35 TL,Elmar Towers,
18,Ankara,Keçiören,Çiçekli,6266-6905,26-03-2023,3 + 1,125 m2,2. Kat,38 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,"Güney, Doğu",8.000 TL,Doğalgaz,Evet,1.680.000 TL,50 TL,,
19,Ankara,Çankaya,Emek,7092-1405,13-04-2023,5 + 1,180 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,Hayır,Güney,18.000 TL,Doğalgaz,Evet,4.500.000 TL,200 TL,,
