,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Site İçerisinde,Kira Getirisi,Yakıt Tipi,Rent,Yetkili Ofis,Kapalı Alan M2,Açık Alan M2,Bina Sayısı,Depozito
0,Ankara,Keçiören,Karşıyaka,0-40200221,08-02-2023,3 + 1,137 m2,7. Kat,3 Yaşında,Kombi,13 Katlı,Bilinmiyor,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Arsa,300 TL,Hayır,"Güney, Doğu, Batı",Bahar Sitesi,3.000 TL,Doğalgaz,1.075.000 TL,,,,,
1,Ankara,Yenimahalle,Özevler,0-40197894,26-01-2023,3 + 1,155 m2,4. Kat,12 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Boş,Kat Mülkiyeti,400 TL,Hayır,"Güney, Doğu",Kaldera 1 Evleri,5.000 TL,Doğalgaz,3.250.000 TL,,,,,
2,Ankara,Çankaya,Kültür,0-40197843,18-02-2023,3 + 1,120 m2,2. Kat,30 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Evet,Güney,,9.000 TL,Doğalgaz,2.250.000 TL,,,,,
3,Ankara,Yenimahalle,Yakacık,0-40195702,25-01-2023,3 + 1,147 m2,Ara Kat,7 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu, Batı",,5.000 TL,Doğalgaz,2.000.000 TL,,,,,
4,Ankara,Yenimahalle,Pamuklar,0-40194885,25-01-2023,3 + 1,155 m2,3. Kat,9 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Bilinmiyor,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,500 TL,Hayır,Güney,Evet (Site Adı Belirtilmemiş),7.000 TL,Doğalgaz,3.100.000 TL,,,,,
5,Ankara,Yenimahalle,Tepealtı,0-40194024,25-01-2023,3 + 1,132 m2,3. Kat,23 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,100 TL,Evet,Batı,,7.000 TL,Doğalgaz,2.500.000 TL,,,,,
6,Ankara,Çankaya,Birlik,0-40194936,25-01-2023,3 + 1,155 m2,En Üst Kat,16 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,,İkinci El,Kiracılı,,100 TL,Evet,"Kuzey, Batı",,,Doğalgaz,4.150.000 TL,,,,,
7,Ankara,Keçiören,Ayvalı,0-40197024,01-04-2023,3 + 1,120 m2,4. Kat,24 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Doğu",,6.500 TL,Doğalgaz,2.000.000 TL,,,,,
8,Ankara,Etimesgut,Tunahan,0-40197384,27-01-2023,3 + 1,110 m2,4. Kat,21 Yaşında,Merkezi,6 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,Güney,"Soyak Blokları (Ankara, Etimesgut, Tunahan)",5.000 TL,Doğalgaz,2.100.000 TL,,,,,
9,Ankara,Keçiören,Ayvalı,0-40186128,10-04-2023,3 + 1,130 m2,Ara Kat,15 Yaşında,Kombi,5 Katlı,Bilinmiyor,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Güney, Doğu, Batı",,7.000 TL,Doğalgaz,2.260.000 TL,,,,,
