ID,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net ,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
0,Ankara,Çankaya,Çankaya,4068-2746,06-04-2023,3,90,5,30,Merkezi,8,Eşyalı,1,Betonarme,İkinci El,Boş,100,"Güney, Doğu, Batı","14,000",Doğalgaz,Evet,"14,500",,,,,
1,Ankara,Çankaya,Bahçelievler,4094-1438,11-04-2023,4,135,3,0,Kombi,3,Eşyalı Değil,2,Betonarme,Sıfır,Boş,150,"Güney, Doğu, Batı","17,500",Doğalgaz,Evet,"17,500",,,,,
2,Ankara,Çankaya,Maltepe,2533-2461,11-04-2023,2,60,Yüksek Giriş,6,Kombi,4,Eşyalı,1,Betonarme,İkinci El,Boş,100,Güney,"21,000",Doğalgaz,Evet,"10,500",,,,,
3,Ankara,Etimesgut,Turkuaz,123623-791,10-04-2023,3,100,3,0,Merkezi (Pay Ölçer),5,Eşyalı Değil,1,Betonarme,Sıfır,Kiracılı,1,,"22,000",Doğalgaz,Evet,"10,250",,,,,
4,Ankara,Çankaya,Osman Temiz,46649-9891,10-04-2023,5,165,2,22,Kombi,3,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Batı","12,000",Doğalgaz,Evet,"12,000",,,,,
5,Ankara,Çankaya,Çiğdem,6632-1819,11-04-2023,4,150,,30,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,650,"Güney, Doğu","30,000",Doğalgaz,Evet,"18,500","Ortadoğu Çamlık Sitesi (Ankara, Çankaya, Çiğdem)",,,,
6,Ankara,Çankaya,Aziziye,6632-1809,11-04-2023,4,150,En Üst Kat,25,Kombi,3,Eşyalı,1,Betonarme,İkinci El,Boş,500,"Kuzey, Doğu, Batı","30,000",Doğalgaz,Evet,"17,500",,,,,
7,Ankara,Çankaya,Güvenevler,16814-6938,11-04-2023,2,65,1,0,Merkezi (Pay Ölçer),4,Eşyalı,1,Betonarme,Sıfır,Boş,450,"Güney, Doğu","14,000",Doğalgaz,Evet,"14,000",,,,,
8,Ankara,Çankaya,Mutlukent,41876-3957,05-04-2023,7,620,,19,Kombi,4,,4,Betonarme,İkinci El,Mülk Sahibi,600,"Kuzey, Güney, Doğu, Batı","116,000",Doğalgaz,Evet,"58,000",,,,,
9,Ankara,Çankaya,Akpınar,135436-12,11-04-2023,4,110,2,10,Merkezi (Pay Ölçer),7,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150,"Kuzey, Doğu","10,000",Doğalgaz,Evet,"10,000",,,,,
10,Ankara,Çankaya,Oran,2800-3327,11-04-2023,5,211,21 ve üzeri,12,Merkezi (Pay Ölçer),30,Eşyalı,2,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,"33,000",Park Oran Konutları,,,,
