,City,District,Neighborhood,İlan no,Son Güncelleme Tarihi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Cephe,Depozito,Yakıt Tipi,Yetkili Ofis,Rent,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas,Kira Getirisi
0,Ankara,Çankaya,Çankaya,4068-2746,06-04-2023,2 + 1,90 m2,5. Kat,30 Yaşında,Merkezi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,"Güney, Doğu, Batı",14.000 TL,Doğalgaz,Evet,14.500 TL,,,,,
1,Ankara,Çankaya,Bahçelievler,4094-1438,11-04-2023,3 + 1,135 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,150 TL,"Güney, Doğu, Batı",17.500 TL,Doğalgaz,Evet,17.500 TL,,,,,
2,Ankara,Çankaya,Maltepe,2533-2461,11-04-2023,1 + 1,60 m2,Yüksek Giriş,6 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,Güney,21.000 TL,Doğalgaz,Evet,10.500 TL,,,,,
3,Ankara,Etimesgut,Turkuaz,123623-791,10-04-2023,2 + 1,100 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Kiracılı,1 TL,,22.000 TL,Doğalgaz,Evet,10.250 TL,,,,,
4,Ankara,Çankaya,Osman Temiz,46649-9891,10-04-2023,4 + 1,165 m2,2. Kat,22 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,"Güney, Batı",12.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
5,Ankara,Çankaya,Çiğdem,6632-1819,11-04-2023,3 + 1,150 m2,,30 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,650 TL,"Güney, Doğu",30.000 TL,Doğalgaz,Evet,18.500 TL,"Ortadoğu Çamlık Sitesi (Ankara, Çankaya, Çiğdem)",,,,
6,Ankara,Çankaya,Aziziye,6632-1809,11-04-2023,3 + 1,150 m2,En Üst Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,500 TL,"Kuzey, Doğu, Batı",30.000 TL,Doğalgaz,Evet,17.500 TL,,,,,
7,Ankara,Çankaya,Güvenevler,16814-6938,11-04-2023,1 + 1,65 m2,1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,450 TL,"Güney, Doğu",14.000 TL,Doğalgaz,Evet,14.000 TL,,,,,
8,Ankara,Çankaya,Mutlukent,41876-3957,05-04-2023,6 + 1,620 m2,,19 Yaşında,Kombi,4 Katlı,,4,Betonarme,İkinci El,Mülk Sahibi,600 TL,"Kuzey, Güney, Doğu, Batı",116.000 TL,Doğalgaz,Evet,58.000 TL,,,,,
9,Ankara,Çankaya,Akpınar,135436-12,11-04-2023,3 + 1,110 m2,2. Kat,10 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,150 TL,"Kuzey, Doğu",10.000 TL,Doğalgaz,Evet,10.000 TL,,,,,
10,Ankara,Çankaya,Oran,2800-3327,11-04-2023,4 + 1,211 m2,21 ve üzeri,12 Yaşında,Merkezi (Pay Ölçer),30 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,"Kuzey, Güney, Doğu",,Doğalgaz,Evet,33.000 TL,Park Oran Konutları,,,,
11,Ankara,Etimesgut,Altay,53646-6962,11-04-2023,1 + 1,60 m2,3. Kat,8 Yaşında,Merkezi (Pay Ölçer),16 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,690 TL,Batı,9.750 TL,Doğalgaz,Evet,9.750 TL,Fırat Life Style,,,,
12,Ankara,Etimesgut,Devlet,2888-14821,11-04-2023,2 + 1,116 m2,Giriş Katı,1 Yaşında,Merkezi (Pay Ölçer),32 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,545 TL,,12.500 TL,Doğalgaz,Evet,12.500 TL,,,,,
13,Ankara,Keçiören,Şefkat,86676-1588,11-04-2023,6 + 1,280 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,150 TL,"Güney, Batı",10.500 TL,Doğalgaz,Evet,10.500 TL,,,,,
14,Ankara,Çankaya,İlkbahar,137010-5,11-04-2023,4 + 1,149 m2,4. Kat,5 Yaşında,Merkezi,14 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,"Güney, Doğu, Batı",76.000 TL,,Evet,38.000 TL,,,,,
15,Ankara,Çankaya,Yücetepe,11065-1925,11-04-2023,2 + 1,100 m2,2. Kat,52 Yaşında,Merkezi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,1.950 TL,"Doğu, Batı",24.000 TL,Doğalgaz,Evet,12.000 TL,,,,,
